Exch. Fee Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Clearing Fee,Total Charge
0,4/28/2021,EMureau,ISE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,11,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5500
0,4/28/2021,EMureau,ISE-OPT,BYO,24,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2000
0,4/28/2021,EMureau,ISE-OPT,BYO,11,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5500
0,4/28/2021,EMureau,ISE-OPT,BYO,4,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.2000
0,4/28/2021,EMureau,CBOE-OPT,BYO,17,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.8500
0,4/28/2021,EMureau,CBOE-OPT,BYO,5,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,1,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.0500
0,4/28/2021,EMureau,ISE-OPT,BYO,20,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.0000
0,4/28/2021,EMureau,ISE-OPT,BYO,3,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.1500
0,4/28/2021,EMureau,CBOE-OPT,BYO,27,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.3500
0,4/28/2021,EMureau,CBOE-OPT,BYO,27,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.3500
0,4/28/2021,EMureau,ISE-OPT,BYO,23,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.1500
0,4/28/2021,EMureau,CBOE-OPT,BYO,27,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.3500
0,4/28/2021,EMureau,CBOE-OPT,BYO,13,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.6500
0,4/28/2021,EMureau,ISE-OPT,BYO,14,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.7000
0,4/28/2021,EMureau,CBOE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,ISE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,11,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5500
0,4/28/2021,EMureau,ISE-OPT,BYO,11,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5500
0,4/28/2021,EMureau,CBOE-OPT,BYO,10,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5000
0,4/28/2021,EMureau,CBOE-OPT,BYO,11,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5500
0,4/28/2021,EMureau,ISE-OPT,BYO,2,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.1000
0,4/28/2021,EMureau,ISE-OPT,BYO,4,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.2000
0,4/28/2021,EMureau,ISE-OPT,BYO,4,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.2000
0,4/28/2021,EMureau,ISE-OPT,BYO,1,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.0500
0,4/28/2021,EMureau,CBOE-OPT,BYO,17,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.8500
0,4/28/2021,EMureau,CBOE-OPT,BYO,6,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.3000
0,4/28/2021,EMureau,CBOE-OPT,BYO,22,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.1000
0,4/28/2021,EMureau,CBOE-OPT,BYO,28,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.4000
0,4/28/2021,EMureau,ISE-OPT,BYO,22,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.1000
0,4/28/2021,EMureau,CBOE-OPT,BYO,19,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.9500
0,4/28/2021,EMureau,ISE-OPT,BYO,20,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.0000
0,4/28/2021,EMureau,CBOE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,ISE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,9,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.4500
0,4/28/2021,EMureau,ISE-OPT,BYO,13,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.6500
0,4/28/2021,EMureau,CBOE-OPT,BYO,2,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.1000
0,4/28/2021,EMureau,CBOE-OPT,BYO,1,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.0500
0,4/28/2021,EMureau,ISE-OPT,BYO,1,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.0500
0,4/28/2021,EMureau,CBOE-OPT,BYO,1,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.0500
0,4/28/2021,EMureau,CBOE-OPT,BYO,11,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.5500
0,4/28/2021,EMureau,CBOE-OPT,BYO,5,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,16,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.8000
0,4/28/2021,EMureau,ISE-OPT,BYO,6,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.3000
0,4/28/2021,EMureau,CBOE-OPT,BYO,23,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.1500
0,4/28/2021,EMureau,CBOE-OPT,BYO,14,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.7000
0,4/28/2021,EMureau,CBOE-OPT,BYO,21,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.0500
0,4/28/2021,EMureau,ISE-OPT,BYO,15,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.7500
0,4/28/2021,EMureau,CBOE-OPT,BYO,21,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.0500
0,4/28/2021,EMureau,CBOE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,25,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$1.2500
0,4/28/2021,EMureau,CBOE-OPT,BYO,13,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.6500
0,4/28/2021,EMureau,ISE-OPT,BYO,13,AAPL,AAPL,18/06/2021,$115.00,P,$0.73,CITI,Per Unit,0.05,0,0,$0.6500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,10,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.5000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,6,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.3000
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,9,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.4500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,10,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.5000
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,7,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.3500
0,4/30/2021,EMureau,ISE-OPT,SLO,7,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.3500
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,12,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.6000
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,7,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.3500
0,4/30/2021,EMureau,ISE-OPT,SLO,14,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.7000
0,4/30/2021,EMureau,ISE-OPT,SLO,20,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$1.0000
0,4/30/2021,EMureau,ISE-OPT,SLO,6,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.3000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,3,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1500
0,4/30/2021,EMureau,ISE-OPT,SLO,12,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.6000
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,2,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.1000
0,4/30/2021,EMureau,ISE-OPT,SLO,4,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.2000
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.65,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,1,PLTR,PLTR,20/01/2023,$20.00,P,$5.65,BNP,Per Unit,0.05,0,0,$0.0500
0,4/30/2021,EMureau,ISE-OPT,SLO,6,PLTR,PLTR,20/01/2023,$20.00,P,$5.65,BNP,Per Unit,0.05,0,0,$0.3000
0,4/30/2021,EMureau,ISE-OPT,SLO,5,PLTR,PLTR,20/01/2023,$20.00,P,$5.65,BNP,Per Unit,0.05,0,0,$0.2500
0,4/30/2021,EMureau,ISE-OPT,SLO,10,PLTR,PLTR,20/01/2023,$20.00,P,$5.65,BNP,Per Unit,0.05,0,0,$0.5000
