Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge,drv_trade_client_account_execution_id
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/9/2021,dsmanik,b,61,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,22.05,328477
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,8/9/2021,dsmanik,s,61,ipof,ipof,11/19/2021,10,c,0.19,vivaldi,per unit,0.05,23.72,328477
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(0.8000),8/9/2021,dsmanik,s,45,luxa,luxa,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,-35.75,328477
0,08/09/2021,DSmanik,WEX-SWEEP,SLO,3,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$2.7000,8/9/2021,dsmanik,s,202,mcmj,mcmj,10/15/2021,10,c,0.2,vivaldi,per unit,0.05,95.4,328477
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,"1,000",GDX,GDX,21/01/2022,$27.00,P,$0.70,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,8/9/2021,dfilippidis,s,1000,gdx,gdx,1/21/2022,27,p,0.7,ubs,per unit,0.05,70,328477
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"1,000",GDX,GDX,20/01/2023,$29.00,P,$2.89,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,8/9/2021,dfilippidis,b,1000,gdx,gdx,1/20/2023,29,p,2.89,ubs,per unit,0.05,70,328477
0,08/09/2021,DSmanik,WEX-SWEEP,BYO,8,MYPS,MYPS,20/08/2021,$5.00,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.85,0,$(6.4000),8/9/2021,dsmanik,b,320,myps,myps,8/20/2021,5,p,0.15,difesa,per unit,0.05,-256.15,328477
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,1,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,8/10/2021,dsmanik,s,1,mcmj,mcmj,10/15/2021,10,c,0.2,vivaldi,per unit,0.05,0.9,326119
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800,8/10/2021,dsmanik,b,2,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,1.08,326119
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800,8/10/2021,dsmanik,s,2,ipof,ipof,11/19/2021,10,c,0.19,vivaldi,per unit,0.05,1.08,326119
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(0.8000),8/10/2021,dsmanik,s,677,luxa,luxa,10/15/2021,10,c,0.05,vivaldi,per unit,0.05,31.63,326119
0,08/10/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"4,750",XLF,XLF,17/09/2021,$36.00,P,$0.29,UBS-CUST,Per Unit,0.05,0,0.02,$332.5000,8/10/2021,dfilippidis,b,4750,xlf,xlf,9/17/2021,36,p,0.29,ubs,per unit,0.05,332.5,326119
0,08/10/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"2,200",XLF,XLF,17/09/2021,$38.00,P,$0.75,UBS-CUST,Per Unit,0.05,0,0.02,$154.0000,8/10/2021,dfilippidis,b,2200,xlf,xlf,9/17/2021,38,p,0.75,ubs,per unit,0.05,154,326119
0,08/10/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"2,200",XLF,XLF,17/09/2021,$40.00,C,$0.31,UBS-CUST,Per Unit,0.05,0,0.02,$154.0000,8/10/2021,dfilippidis,b,2200,xlf,xlf,9/17/2021,40,c,0.31,ubs,per unit,0.05,154,326119
0,08/10/2021,DSmanik,WEX-SWEEP,SLO,4,MDLA,MDLA,17/09/2021,$35.00,C,$0.15,WESTCHESTER,Per Unit,0.05,0,0,$0.2000,8/10/2021,dsmanik,s,4,mdla,mdla,9/17/2021,35,c,0.15,westchester,per unit,0.05,0.2,326119
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,175,.VIX,VIX,18/08/2021,$18.00,P,$1.03,UBS-CUST,Per Unit,0.05,0,0.02,$12.2500,8/10/2021,dfilippidis,b,175,.vix,vix,8/18/2021,18,p,1.03,ubs,per unit,0.05,12.25,326119
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,175,.VIX,VIX,18/08/2021,$18.00,C,$1.05,UBS-CUST,Per Unit,0.05,0,0.02,$12.2500,8/10/2021,dfilippidis,s,175,.vix,vix,8/18/2021,18,c,1.05,ubs,per unit,0.05,12.25,326119
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,500,.VIX,VIX,18/08/2021,$20.00,C,$0.66,UBS-CUST,Per Unit,0.05,0,0.02,$35.0000,8/10/2021,dfilippidis,b,500,.vix,vix,8/18/2021,20,c,0.66,ubs,per unit,0.05,35,326119
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,500,.VIX,VIX,17/11/2021,$22.00,C,$4.20,UBS-CUST,Per Unit,0.05,0,0.02,$35.0000,8/10/2021,dfilippidis,s,500,.vix,vix,11/17/2021,22,c,4.2,ubs,per unit,0.05,35,326119
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,305,.VIX,VIX,17/11/2021,$23.00,P,$4.50,UBS-CUST,Per Unit,0.05,0,0.02,$21.3500,8/10/2021,dfilippidis,s,305,.vix,vix,11/17/2021,23,p,4.5,ubs,per unit,0.05,21.35,326119
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,305,.VIX,VIX,17/11/2021,$23.00,C,$3.90,UBS-CUST,Per Unit,0.05,0,0.02,$21.3500,8/10/2021,dfilippidis,b,305,.vix,vix,11/17/2021,23,c,3.9,ubs,per unit,0.05,21.35,326119
0,08/11/2021,DSmanik,WEX-SWEEP,BYO,2,SUNL,SUNL,20/08/2021,$7.50,P,$0.10,DIFESA-OMNI,Per Unit,0.05,-0.8,0,$(1.5000),8/11/2021,dsmanik,b,2,sunl,sunl,8/20/2021,7.5,p,0.1,difesa,per unit,0.05,-1.5,328502
0,08/11/2021,DSmanik,WEX-SWEEP,SLO,1,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.86,0,$(0.8100),8/11/2021,dsmanik,s,259,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,143.92,328502
0,08/11/2021,DSmanik,WEX-SWEEP,BYO,50,MYPS,MYPS,20/08/2021,$5.00,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$45.0000,8/11/2021,dsmanik,b,207,myps,myps,8/20/2021,5,p,0.15,difesa,per unit,0.05,-72.61,328502
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"3,000",.VIX,VIX,17/11/2021,$22.00,P,$3.85,UBS-CUST,Per Unit,0.05,0,0.02,$210.0000,8/11/2021,dfilippidis,s,3000,.vix,vix,11/17/2021,22,p,3.85,ubs,per unit,0.05,210,328502
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"1,200",.VIX,VIX,17/11/2021,$23.00,P,$4.62,UBS-CUST,Per Unit,0.05,0,0.02,$84.0000,8/11/2021,dfilippidis,b,1200,.vix,vix,11/17/2021,23,p,4.62,ubs,per unit,0.05,84,328502
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,200",.VIX,VIX,17/11/2021,$23.00,C,$3.78,UBS-CUST,Per Unit,0.05,0,0.02,$84.0000,8/11/2021,dfilippidis,s,1200,.vix,vix,11/17/2021,23,c,3.78,ubs,per unit,0.05,84,328502
0,08/11/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,8/11/2021,dsmanik,s,1,luxa,luxa,10/15/2021,10,c,0.05,vivaldi,per unit,0.05,0.9,328502
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,1,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,8/12/2021,dsmanik,s,57,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,-9.83,326359
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,7,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(5.6000),8/12/2021,dsmanik,s,46,luxa,luxa,10/15/2021,10,c,0.05,vivaldi,per unit,0.05,-19.62,326359
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,8/12/2021,dsmanik,b,9,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,4.86,326359
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,IPOF,IPOF,19/11/2021,$10.00,C,$0.21,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,8/12/2021,dsmanik,s,9,ipof,ipof,11/19/2021,10,c,0.21,vivaldi,per unit,0.05,4.86,326359
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,SLO,200,PIPP,PIPP,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$10.5000,8/12/2021,dsmanik,s,547,pipp,pipp,10/15/2021,10,c,0.05,vivaldi,per unit,0.05,28.61,326359
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,500",.VIX,VIX,20/10/2021,$20.00,P,$2.88,UBS-CUST,Per Unit,0.05,0,0.02,$105.0000,8/12/2021,dfilippidis,s,1500,.vix,vix,10/20/2021,20,p,2.88,ubs,per unit,0.05,105,326359
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,585,.VIX,VIX,20/10/2021,$21.00,P,$3.63,UBS-CUST,Per Unit,0.05,0,0.02,$40.9500,8/12/2021,dfilippidis,b,585,.vix,vix,10/20/2021,21,p,3.63,ubs,per unit,0.05,40.95,326359
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,585,.VIX,VIX,20/10/2021,$21.00,C,$3.25,UBS-CUST,Per Unit,0.05,0,0.02,$40.9500,8/12/2021,dfilippidis,s,585,.vix,vix,10/20/2021,21,c,3.25,ubs,per unit,0.05,40.95,326359
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,81,.VIX,VIX,20/10/2021,$21.00,P,$3.59,UBS-CUST,Per Unit,0.05,0,0.02,$5.6700,8/12/2021,dfilippidis,s,81,.vix,vix,10/20/2021,21,p,3.59,ubs,per unit,0.05,5.67,326359
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,81,.VIX,VIX,20/10/2021,$21.00,C,$3.33,UBS-CUST,Per Unit,0.05,0,0.02,$5.6700,8/12/2021,dfilippidis,b,81,.vix,vix,10/20/2021,21,c,3.33,ubs,per unit,0.05,5.67,326359
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,300,.VIX,VIX,20/10/2021,$35.00,C,$1.51,UBS-CUST,Per Unit,0.05,0,0.02,$21.0000,8/12/2021,dfilippidis,s,300,.vix,vix,10/20/2021,35,c,1.51,ubs,per unit,0.05,21,326359
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,SLO,200,PIPP,PIPP,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$10.5000,8/13/2021,dsmanik,s,905,pipp,pipp,10/15/2021,10,c,0.05,vivaldi,per unit,0.05,85.7,333508
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.47,0,$1.0400,8/13/2021,dsmanik,b,383,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,181.3,333508
0,8/13/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,IPOF,IPOF,19/11/2021,$10.00,C,$0.20,VIVALDI-OMNI,Per Unit,0.05,0.47,0,$0.5200,8/13/2021,dsmanik,s,383,ipof,ipof,11/19/2021,10,c,0.2,vivaldi,per unit,0.05,181.3,333508
0,8/13/2021,DSmanik,WEX-SWEEP,SLO,6,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.2400,8/13/2021,dsmanik,s,187,luxa,luxa,10/15/2021,10,c,0.05,vivaldi,per unit,0.05,8.56,333508
0,8/13/2021,DSmanik,WEX-SWEEP,SLO,1,PPC,PPC,20/08/2021,$28.00,C,$0.40,HAVENS-OMNI,Per Unit,0.05,-0.85,0,$(0.8000),8/13/2021,dsmanik,s,100,ppc,ppc,8/20/2021,28,c,0.38,havens,per unit,0.05,-6.82,333508
0,8/13/2021,DSmanik,WEX-SWEEP,SLC,4,MYPS,MYPS,20/08/2021,$5.00,P,$0.40,DIFESA-OMNI,Per Unit,0.05,-0.85,0,$(3.2000),8/13/2021,dsmanik,s,200,myps,myps,8/20/2021,5,p,0.4,difesa,per unit,0.05,-39.47,333508
0,8/13/2021,DSmanik,WEX-SWEEP,BYO,1,SKIN,SKIN,19/11/2021,$12.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$0.9000,8/13/2021,dsmanik,b,200,skin,skin,11/19/2021,12.5,p,0.15,difesa,per unit,0.05,76.08,333508
0,8/16/2021,DSmanik,WEX-BESTX-OPT,SLO,3,IPOF,IPOF,19/11/2021,$10.00,C,$0.18,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$1.6500,8/16/2021,dsmanik,s,96,ipof,ipof,11/19/2021,10,c,0.18,vivaldi,per unit,0.05,-24.03,326353
0,8/16/2021,DSmanik,WEX-SWEEP,SLC,21,MYPS,MYPS,20/08/2021,$5.00,P,$0.30,DIFESA-OMNI,Per Unit,0.05,-0.85,0,$(16.8000),8/16/2021,dsmanik,s,200,myps,myps,8/20/2021,5,p,0.3,difesa,per unit,0.05,-159.94,326353
0,8/17/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,EWT,EWT,20/08/2021,$60.00,P,$0.53,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,$0.4000,8/17/2021,dsmanik,s,300,ewt,ewt,8/20/2021,60,p,0.54,newfoundland,per unit,0.05,-135.75,326018
0,8/17/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,EWT,EWT,17/09/2021,$55.00,P,$0.55,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,$0.4000,8/17/2021,dsmanik,s,300,ewt,ewt,9/17/2021,55,p,0.56,newfoundland,per unit,0.05,-135.75,326018
0,8/17/2021,DSmanik,WEX-SWEEP-SPRD,BYO,8,EWT,EWT,17/09/2021,$60.00,P,$1.64,NEWFOUNDLAND-OMNI,Per Unit,0.05,0,0,$0.4000,8/17/2021,dsmanik,b,300,ewt,ewt,9/17/2021,60,p,1.65,newfoundland,per unit,0.05,-135.75,326018
0,8/17/2021,DSmanik,ISE-OPT,SLO,1,AI,AI,17/06/2022,$35.00,P,$5.60,BNP,Per Unit,0.05,0,0,$0.0500,8/17/2021,dsmanik,s,662,ai,ai,6/17/2022,35,p,5.6,bnp,per unit,0.05,33.1,326018
0,8/18/2021,DSmanik,WEX-BESTX-OPT,SLC,10,MYPS,MYPS,20/08/2021,$5.00,P,$0.90,DIFESA,Per Unit,0.05,-0.86,0,$(8.1000),8/18/2021,dsmanik,s,200,myps,myps,8/20/2021,5,p,0.83,difesa,per unit,0.05,-157.93,328529
0,8/18/2021,DSmanik,WEX-SWEEP,BYO,19,MYPS,MYPS,19/11/2021,$5.00,C,$0.40,DIFESA,Per Unit,0.05,-0.8,0,$(14.2500),8/18/2021,dsmanik,b,122,myps,myps,11/19/2021,5,c,0.4,difesa,per unit,0.05,-96.29,328529
0,8/18/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,250,JPM,JPM,17/06/2022,$185.00,C,$4.40,UBS-CUST,Per Unit,0.05,0,0.02,$17.5000,8/18/2021,dfilippidis,s,250,jpm,jpm,6/17/2022,185,c,4.4,ubs,per unit,0.05,17.5,328529
0,8/18/2021,DFilippidis,PHLX-WEX-CONNECT,BYO,"2,950",GDX,GDX,20/01/2023,$44.00,C,$1.64,UBS-CUST,Per Unit,0.05,0,0.02,$206.5000,8/18/2021,dfilippidis,b,2950,gdx,gdx,1/20/2023,44,c,1.64,ubs,per unit,0.05,206.5,328529
0,8/19/2021,DSmanik,WEX-BESTX-OPT,SLC,16,MYPS,MYPS,20/08/2021,$5.00,P,$0.90,DIFESA,Per Unit,0.05,-0.85,0,$(12.8000),8/19/2021,dsmanik,s,331,myps,myps,8/20/2021,5,p,0.96,difesa,per unit,0.05,-107.65,326320
0,8/19/2021,DSmanik,WEX-BESTX-OPT,SLC,20,LEV,LEV,20/08/2021,$12.50,P,$0.65,DIFESA,Per Unit,0.05,-0.85,0,$(16.0000),8/19/2021,dsmanik,s,500,lev,lev,8/20/2021,12.5,p,0.67,difesa,per unit,0.05,-395.07,326320
0,8/19/2021,DSmanik,WEX-BESTX-OPT,BYO,1,MYPS,MYPS,19/11/2021,$5.00,C,$0.40,DIFESA,Per Unit,0.05,-0.86,0,$(0.8100),8/19/2021,dsmanik,b,1,myps,myps,11/19/2021,5,c,0.4,difesa,per unit,0.05,-0.81,326320
0,8/20/2021,DSmanik,WEX-SWEEP,SLC,1,SUNL,SUNL,20/08/2021,$7.50,P,$2.30,DIFESA-OMNI,Per Unit,0.05,-0.86,0,$(0.8100),8/20/2021,dsmanik,s,2,sunl,sunl,8/20/2021,7.5,p,2.3,difesa,per unit,0.05,-1.61,327085
0,8/20/2021,DSmanik,WEX-SWEEP,SLC,1,MYPS,MYPS,20/08/2021,$5.00,P,$0.65,DIFESA-OMNI,Per Unit,0.05,-0.85,0,$(0.8000),8/20/2021,dsmanik,s,69,myps,myps,8/20/2021,5,p,0.61,difesa,per unit,0.05,-4.11,327085
0,8/20/2021,DSmanik,WEX-SWEEP,SLO,5,IPOF,IPOF,17/12/2021,$10.00,C,$0.20,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$2.7000,8/20/2021,dsmanik,s,199,ipof,ipof,12/17/2021,10,c,0.2,vivaldi,per unit,0.05,107.47,327085
0,8/20/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/12/2021,$12.50,C,$0.11,KEPOS,Per Unit,0.05,0.0025,0,$0.5250,8/20/2021,dsmanik,s,2000,ipof,ipof,12/17/2021,12.5,c,0.11,kepos,per unit,0.05,677.52,327085
0,8/20/2021,DFilippidis,CBOE-WEX-CONNECT,SLC,"2,500",.VIX,VIX,15/09/2021,$16.00,P,$0.18,UBS-CUST,Per Unit,0.05,0,0.02,$175.0000,8/20/2021,dfilippidis,s,2500,.vix,vix,9/15/2021,16,p,0.18,ubs,per unit,0.05,175,327085
0,8/25/2021,DFilippidis,AWAY-MIZUHO-OSCARGRUSS,BYC,300,WDC,WDC,21/01/2022,$60.00,P,$4.70,MIZUHO,Per Unit,0.05,0,0.02,$21.0000,8/25/2021,dfilippidis,b,500,wdc,wdc,1/21/2022,60,p,4.6,mizuho,per unit,0.05,35,328556
0,8/25/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,600,.VIX,VIX,15/09/2021,$16.00,P,$0.20,UBS-CUST,Per Unit,0.05,0,0.02,$42.0000,8/25/2021,dfilippidis,s,600,.vix,vix,9/15/2021,16,p,0.2,ubs,per unit,0.05,42,328556
