Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge,removed
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$0.9000,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.9,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,12,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.0025,0,$0.6300,3/8/2021,dsmanik,b,12,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.63,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.2000,3/8/2021,dsmanik,b,4,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,10,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.01,0,$0.4000,3/8/2021,dsmanik,b,10,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.4,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,28,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$25.2000,3/8/2021,dsmanik,b,28,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,25.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,11,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5500,3/8/2021,dsmanik,b,11,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.55,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.0025,0,$0.0525,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.0525,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.05,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,2,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$1.8000,3/8/2021,dsmanik,b,2,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,1.8,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$0.9000,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.9,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.65,0,$2.8000,3/8/2021,dsmanik,b,4,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,2.8,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,12,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.01,0,$0.4800,3/8/2021,dsmanik,b,12,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.48,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.01,0,$0.0400,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.04,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,11,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$9.9000,3/8/2021,dsmanik,b,11,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,9.9,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,3,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$2.7000,3/8/2021,dsmanik,b,3,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,2.7,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,16,CANO,CANO,17/09/2021,$7.50,P,$0.14,DIFESA-OMNI,Per Unit,0.05,0.85,0,$14.4000,3/8/2021,dsmanik,b,16,cano,cano,17/9/2021,7.5,p,0.14,difesa,per unit,0.05,14.4,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$3.6000,3/8/2021,dsmanik,b,4,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,3.6,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,20,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$18.0000,3/8/2021,dsmanik,b,20,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,18,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,16,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.8000,3/8/2021,dsmanik,b,16,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.8,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,11,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5500,3/8/2021,dsmanik,b,11,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.55,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,152,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$7.6000,3/8/2021,dsmanik,b,152,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,7.6,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.05,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.05,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.05,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,10,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5000,3/8/2021,dsmanik,b,10,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.5,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,9,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$8.1000,3/8/2021,dsmanik,b,9,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,8.1,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$3.6000,3/8/2021,dsmanik,b,4,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,3.6,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,25,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$22.5000,3/8/2021,dsmanik,b,25,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,22.5,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,16,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.5,0,$(7.2000),3/8/2021,dsmanik,b,16,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,-7.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.5,0,$(0.4500),3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,-0.45,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,-0.5,0,$(0.4500),3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,-0.45,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$0.9000,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.9,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,9,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$8.1000,3/8/2021,dsmanik,b,9,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,8.1,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500,3/8/2021,dsmanik,b,1,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.05,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,25,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$1.2500,3/8/2021,dsmanik,b,25,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,1.25,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,18,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0.85,0,$16.2000,3/8/2021,dsmanik,b,18,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,16.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,16,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.8000,3/8/2021,dsmanik,b,16,cano,cano,17/9/2021,7.5,p,0.15,difesa,per unit,0.05,0.8,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.2,0,$(0.3000),3/8/2021,dsmanik,s,2,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,-0.3,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.4200,3/8/2021,dsmanik,s,8,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,0.42,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.2000,3/8/2021,dsmanik,s,4,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,0.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.2,0,$(0.3000),3/8/2021,dsmanik,s,2,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,-0.3,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,-0.86,0,$(4.0500),3/8/2021,dsmanik,b,5,cyxt,cyxt,17/9/2021,7.5,p,0.35,difesa,per unit,0.05,-4.05,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.42,0,$(0.3700),3/8/2021,dsmanik,s,1,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,-0.37,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,-0.43,0,$(0.3800),3/8/2021,dsmanik,s,1,ipof,ipof,17/9/2021,10,c,0.08,vivaldi,per unit,0.05,-0.38,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,-0.01,0,$0.0800,3/8/2021,dsmanik,s,2,luxa,luxa,15/10/2021,10,c,0.15,milton,per unit,0.05,0.08,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,18,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$0.9000,3/8/2021,dsmanik,s,18,luxa,luxa,15/10/2021,10,c,0.15,milton,per unit,0.05,0.9,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,16,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$0.8000,3/8/2021,dsmanik,s,16,luxa,luxa,15/10/2021,10,c,0.15,milton,per unit,0.05,0.8,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,4,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$0.2000,3/8/2021,dsmanik,s,4,luxa,luxa,15/10/2021,10,c,0.15,milton,per unit,0.05,0.2,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,10,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$0.5000,3/8/2021,dsmanik,s,10,luxa,luxa,15/10/2021,10,c,0.15,milton,per unit,0.05,0.5,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,47,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,MILTON,Per Unit,0.05,0,0,$2.3500,3/8/2021,dsmanik,s,47,luxa,luxa,15/10/2021,10,c,0.15,milton,per unit,0.05,2.35,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.4000,3/8/2021,dsmanik,s,8,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.4,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,5,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$4.5000,3/8/2021,dsmanik,s,5,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,4.5,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,15,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$13.5000,3/8/2021,dsmanik,s,15,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,13.5,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$1.8000,3/8/2021,dsmanik,s,2,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,1.8,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,7,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.3675,3/8/2021,dsmanik,s,7,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.3675,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,3,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.1200,3/8/2021,dsmanik,s,3,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.12,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,3/8/2021,dsmanik,s,1,luxa,luxa,15/10/2021,10,c,0.15,vivaldi,per unit,0.05,0.9,undefined
