WEX Connect Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,,Exch. Fee Rate,Clearing Fee,Total Charge
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0.0025,0,$0.5250
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0,0,$0.5000
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0.0025,0,$0.5250
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,0,0,$0.2000
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.43,0,$(0.3800)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,-0.42,0,$(0.3700)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.42,0,$(0.3700)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.3,0,$(0.2500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,-0.43,0,$(0.3800)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,-0.3,0,$(0.2500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1575
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,-0.42,0,$(0.3700)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.42,0,$(0.3700)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,MILTON,Per Unit,0.05,,-0.3,0,$(0.2500)
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,56,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$2.9400
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.43,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.4725
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.43,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.4725
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.43,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.4725
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.43,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.4725
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.43,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1050
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,-0.01,0,$0.2800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,-0.01,0,$0.1200
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,-0.01,0,$0.2800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,-0.01,0,$0.1200
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,0.0025,0,$0.1050
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,6,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,-0.01,0,$0.2400
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,-0.01,0,$0.0800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,-0.01,0,$0.0800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,0.0025,0,$0.1050
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,0.0025,0,$0.2100
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,0.0025,0,$0.2100
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,MILTON,Per Unit,0.05,,0.0025,0,$0.1050
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.5250
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.01,0,$0.2800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1050
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1575
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.0525
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(1.0500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1050
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.0525
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.0525
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.1575
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.4500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,5,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.7500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.6000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.3000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,-0.2,0,$(0.1500)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$1.0800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$1.0800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$1.0800
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,25,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$1.3125
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,37,IPOF,IPOF,17/09/2021,$10.00,C,$0.43,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(7.4000)
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.2100
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.45,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(1.6000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,-0.43,0,$(0.7600)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,-0.3,0,$(0.5000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,-0.42,0,$(0.7400)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,7,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$3.7800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$5.4000
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$5.4000
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.46,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$0.5400
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.44,VIVALDI-OMNI,Per Unit,0.05,,-0.42,0,$(0.3700)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,8,CLDR,CLDR,20/08/2021,$16.00,C,$0.12,VIVALDI-OMNI,Per Unit,0.05,,0.5,0,$4.4000
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,100,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,0.5,0,$55.0000
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$0.5400
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,13,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(2.6000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,16,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.42,0,$(5.9200)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,16,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.3,0,$(4.0000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,5,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(1.0000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,14,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(2.8000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,17,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.42,0,$(6.2900)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,16,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.3,0,$(4.0000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(0.6000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$1.0800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.48,0,$2.1200
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$2.1600
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,6,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$3.2400
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.48,0,$2.1200
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$1.6200
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.48,0,$2.1200
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$4.8600
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$1.0800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$1.0800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$1.0800
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.49,0,$0.5400
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,14,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(2.8000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,17,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.42,0,$(6.2900)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,16,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.3,0,$(4.0000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,20/08/2021,$16.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(0.6000)
0,07/01/2021,DSmanik,WEX-SWEEP,SLO,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.43,VIVALDI-OMNI,Per Unit,0.05,,-0.25,0,$(0.2000)
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,15,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0,0,$0.7500
0,07/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,16,IPOF,IPOF,17/09/2021,$10.00,C,$0.42,VIVALDI-OMNI,Per Unit,0.05,,0.0025,0,$0.8400
