Commission Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,WEX Connect Rate,Exch. Fee Rate,Clearing Fee,Total Charge
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,11,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.79,0,$9.24 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,600,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$312.00 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,326,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.47,0,$169.52 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,202,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.47,0,$105.04 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,72,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.47,0,$37.44 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,106,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$55.12 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,106,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.47,0,$55.12 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,30,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$16.20 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,30,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.49,0,$16.20 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,45,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$24.30 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,45,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.49,0,$24.30 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$2.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,4,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.49,0,$2.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$2.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,4,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.49,0,$2.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$1.62 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,SPY,SPY,10/13/2021,$410.00 ,P,$0.50 ,KEPOS,Per Unit,0,0.49,0,$1.62 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$2.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,4,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.49,0,$2.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$2.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,4,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.49,0,$2.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$1.62 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.49,0,$1.62 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$1.62 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.49,0,$1.62 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,19,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$9.88 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,19,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$9.88 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,16,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$8.32 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,16,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$8.32 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,13,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$6.76 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$1.56 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,10,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$5.20 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,90,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,-0.25,0,($18.00)
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,7,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$3.64 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,83,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,-0.25,0,($16.60)
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,45,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,-0.25,0,($9.00)
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,45,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,-0.25,0,($9.00)
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$1.56 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,-0.25,0,($0.60)
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$1.56 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,-0.25,0,($0.60)
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$0.52 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,-0.25,0,($0.20)
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,147,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$79.38 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,132,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.49,0,$71.28 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,15,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.49,0,$8.10 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,260,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.49,0,$140.40 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,260,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.49,0,$140.40 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,33,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$17.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,33,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$17.16 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,28,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$14.56 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,28,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$14.56 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,24,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$12.48 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,9,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$4.68 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,15,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$7.80 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,6,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$3.12 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,6,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$3.12 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,SLO,6,SPY,SPY,10/13/2021,$400.00 ,P,$0.23 ,KEPOS,Per Unit,0,0.47,0,$3.12 
0.05,10/05/2021,DSmanik,WEX-SWEEP-SPRD,BYO,6,SPY,SPY,10/13/2021,$410.00 ,P,$0.51 ,KEPOS,Per Unit,0,0.47,0,$3.12 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.05 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.11 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,10,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$9.00 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.79,0,$2.52 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$1.80 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,12,LICY,LICY,10/15/2021,$15.00 ,C,$0.14 ,DIFESA-OMNI,Per Unit,0,0.85,0,$10.80 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$2.70 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-SWEEP,BYO,6,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.30 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,5,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$4.50 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.0025,0,$0.11 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$2.70 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,-0.5,0,($0.45)
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.79,0,$2.52 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,12,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$10.80 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$1.80 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,2,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.10 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$2.70 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,5,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.25 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,5,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$4.50 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$2.70 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,6,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.30 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,20,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$18.00 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,3,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.79,0,$2.52 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,6,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0,0,$0.30 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,1,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$0.90 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,77,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$69.30 
0.05,10/05/2021,DSmanik,WEX-BESTX-OPT,BYO,26,LICY,LICY,10/15/2021,$15.00 ,C,$0.15 ,DIFESA-OMNI,Per Unit,0,0.85,0,$23.40 
