Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,groupsSeparated,key
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,585,.VIX,VIX,20/10/2021,$21.00,P,$3.63,UBS-CUST,Per Unit,0.05,0,0.02,$40.9500,"[{""﻿Clearing Fee"":""0"",""Date"":""08/12/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYO"",""Exec Qty"":""585"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""20/10/2021"",""Strike"":""$21.00"",""Call/Put"":""P"",""Average Price"":""$3.63"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$40.9500"",""modifiedDate"":""12/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":585,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""20/10/2021"",""modifiedStrike"":21,""modifiedCallPut"":""p"",""modifiedAveragePrice"":3.63,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":40.95}]",12/8/2021|b|vix|21|20/10/2021|p|3.63|585
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,585,.VIX,VIX,20/10/2021,$21.00,C,$3.25,UBS-CUST,Per Unit,0.05,0,0.02,$40.9500,"[{""﻿Clearing Fee"":""0"",""Date"":""08/12/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""SLO"",""Exec Qty"":""585"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""20/10/2021"",""Strike"":""$21.00"",""Call/Put"":""C"",""Average Price"":""$3.25"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$40.9500"",""modifiedDate"":""12/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":585,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""20/10/2021"",""modifiedStrike"":21,""modifiedCallPut"":""c"",""modifiedAveragePrice"":3.25,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":40.95}]",12/8/2021|s|vix|21|20/10/2021|c|3.25|585
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,81,.VIX,VIX,20/10/2021,$21.00,P,$3.59,UBS-CUST,Per Unit,0.05,0,0.02,$5.6700,"[{""﻿Clearing Fee"":""0"",""Date"":""08/12/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""SLO"",""Exec Qty"":""81"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""20/10/2021"",""Strike"":""$21.00"",""Call/Put"":""P"",""Average Price"":""$3.59"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$5.6700"",""modifiedDate"":""12/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":81,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""20/10/2021"",""modifiedStrike"":21,""modifiedCallPut"":""p"",""modifiedAveragePrice"":3.59,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":5.67}]",12/8/2021|s|vix|21|20/10/2021|p|3.59|81
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,81,.VIX,VIX,20/10/2021,$21.00,C,$3.33,UBS-CUST,Per Unit,0.05,0,0.02,$5.6700,"[{""﻿Clearing Fee"":""0"",""Date"":""08/12/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYO"",""Exec Qty"":""81"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""20/10/2021"",""Strike"":""$21.00"",""Call/Put"":""C"",""Average Price"":""$3.33"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$5.6700"",""modifiedDate"":""12/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":81,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""20/10/2021"",""modifiedStrike"":21,""modifiedCallPut"":""c"",""modifiedAveragePrice"":3.33,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":5.67}]",12/8/2021|b|vix|21|20/10/2021|c|3.33|81
0,8/20/2021,DFilippidis,CBOE-WEX-CONNECT,SLC,"2,500",.VIX,VIX,15/09/2021,$16.00,P,$0.18,UBS-CUST,Per Unit,0.05,0,0.02,$175.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""8/20/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""SLC"",""Exec Qty"":""2,500"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""15/09/2021"",""Strike"":""$16.00"",""Call/Put"":""P"",""Average Price"":""$0.18"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$175.0000"",""modifiedDate"":""20/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""s"",""modifiedExecQty"":2500,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""15/9/2021"",""modifiedStrike"":16,""modifiedCallPut"":""p"",""modifiedAveragePrice"":0.18,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":175}]",20/8/2021|s|vix|16|15/9/2021|p|0.18|2500
0,8/31/2021,DFilippidis,CBOE-WEX-CONNECT,BYC,"4,000",.VIX,VIX,20/10/2021,$17.00,P,$0.67,UBS-CUST,Per Unit,0.05,0,0.02,$280.0000,"[{""﻿Clearing Fee"":""0"",""Date"":""8/31/2021"",""User"":""DFilippidis"",""Route"":""CBOE-WEX-CONNECT"",""Side"":""BYC"",""Exec Qty"":""4,000"",""Security"":"".VIX"",""Root"":""VIX"",""Expiry"":""20/10/2021"",""Strike"":""$17.00"",""Call/Put"":""P"",""Average Price"":""$0.67"",""Portfolio"":""UBS-CUST"",""Commission Type"":""Per Unit"",""Commission Rate"":""0.05"",""Exch. Fee Rate"":""0"",""WEX Connect Rate"":""0.02"",""Total Charge"":""$280.0000"",""modifiedDate"":""31/8/2021"",""modifiedUser"":""dfilippidis"",""modifiedSide"":""b"",""modifiedExecQty"":4000,""modifiedSecurity"":"".vix"",""modifiedRoot"":""vix"",""modifiedExpiry"":""20/10/2021"",""modifiedStrike"":17,""modifiedCallPut"":""p"",""modifiedAveragePrice"":0.67,""modifiedPortfolio"":""ubs"",""modifiedCommissionType"":""per unit"",""modifiedCommissionRate"":0.05,""modifiedTotalCharge"":280}]",31/8/2021|b|vix|17|20/10/2021|p|0.67|4000
0,08/05/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000,undefined,undefined
0,08/05/2021,DSmanik,CBOE-OPT,SLO,7,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.3500,undefined,undefined
0,08/05/2021,DSmanik,CBOE-OPT,SLO,10,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.5000,undefined,undefined
0,08/05/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500,undefined,undefined
0,08/05/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500,undefined,undefined
0,08/05/2021,DSmanik,ISE-OPT,SLO,4,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.2000,undefined,undefined
0,08/05/2021,DSmanik,ISE-OPT,SLO,1,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.0500,undefined,undefined
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,17,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.8500,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,3,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.1500,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,16,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.8000,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,14,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.7000,undefined,undefined
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,8,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.4000,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,5,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.2500,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,5,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.2500,undefined,undefined
0,08/06/2021,DSmanik,ISE-OPT,BYO,10,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.5000,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,18,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.9000,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,43,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.1500,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,9,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.4500,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,1,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.0500,undefined,undefined
0,08/06/2021,DSmanik,CBOE-OPT,BYO,1,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.0500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,5,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.7500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,9,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.9500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.65,0,$0.7000,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,3,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$1.6500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,4,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$2.1600,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800,undefined,undefined
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.6200,undefined,undefined
