Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge,modifiedTotalCharge,removed,targetId
0,6/17/2021,DFilippidis,,SLO,-157,CCV,CCV,20/08/2021,$10.00,C,$0.34,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(7.8500),-7.85,true,undefined
0,6/17/2021,DFilippidis,,SLO,157,CCV,CCV,20/08/2021,$10.00,C,$0.34,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$7.8500,7.85,true,undefined
0,6/17/2021,DFilippidis,,SLO,-119,IPOF,IPOF,20/08/2021,$10.00,C,$0.44,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(5.9500),-5.95,true,undefined
0,6/17/2021,DFilippidis,,SLO,119,IPOF,IPOF,20/08/2021,$10.00,C,$0.44,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$5.9500,5.95,true,undefined
0,6/18/2021,DFilippidis,WEX-SWEEP,SLO,-14,CCV,CCV,20/08/2021,$10.00,C,$0.37,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.7000),-0.7,true,undefined
0,6/18/2021,DFilippidis,WEX-SWEEP,SLO,14,CCV,CCV,20/08/2021,$10.00,C,$0.37,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.7000,0.7,true,undefined
0,6/18/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-200,BTWN,BTWN,20/08/2021,$10.00,C,$0.37,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(10.0000),-10,true,undefined
0,6/18/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,200,BTWN,BTWN,20/08/2021,$10.00,C,$0.37,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$10.0000,10,true,undefined
0,6/18/2021,DFilippidis,,SLO,-112,IPOF,IPOF,20/08/2021,$10.00,C,$0.40,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(5.6000),-5.6,true,undefined
0,6/18/2021,DFilippidis,,SLO,112,IPOF,IPOF,20/08/2021,$10.00,C,$0.40,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$5.6000,5.6,true,undefined
0,6/21/2021,DFilippidis,,SLO,-96,IPOF,IPOF,20/08/2021,$10.00,C,$0.32,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(4.8000),-4.8,true,undefined
0,6/21/2021,DFilippidis,,SLO,96,IPOF,IPOF,20/08/2021,$10.00,C,$0.32,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$4.8000,4.8,true,undefined
0,6/21/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-500,BTWN,BTWN,20/08/2021,$10.00,C,$0.32,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(25.0000),-25,true,undefined
0,6/21/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,500,BTWN,BTWN,20/08/2021,$10.00,C,$0.32,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$25.0000,25,true,undefined
0,6/22/2021,DFilippidis,WEX-SWEEP,SLO,-20,IPOF,IPOF,20/08/2021,$10.00,C,$0.30,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.0000),-1,true,undefined
0,6/22/2021,DFilippidis,WEX-SWEEP,SLO,20,IPOF,IPOF,20/08/2021,$10.00,C,$0.30,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$1.0000,1,true,undefined
0,6/24/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-130,BTWN,BTWN,20/08/2021,$10.00,C,$0.27,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(6.5000),-6.5,true,undefined
0,6/24/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,130,BTWN,BTWN,20/08/2021,$10.00,C,$0.27,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$6.5000,6.5,true,undefined
0,6/24/2021,DFilippidis,WEX-SWEEP,SLO,-75,CCV,CCV,20/08/2021,$10.00,C,$0.25,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(3.7500),-3.75,true,undefined
0,6/24/2021,DFilippidis,WEX-SWEEP,SLO,75,CCV,CCV,20/08/2021,$10.00,C,$0.25,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$3.7500,3.75,true,undefined
0,6/24/2021,DFilippidis,WEX-SWEEP,SLO,-161,FPAC,FPAC,20/08/2021,$10.00,C,$0.23,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(8.0500),-8.05,true,undefined
0,6/24/2021,DFilippidis,WEX-SWEEP,SLO,161,FPAC,FPAC,20/08/2021,$10.00,C,$0.23,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$8.0500,8.05,true,undefined
0,6/25/2021,DFilippidis,WEX-SWEEP,SLO,-208,CCV,CCV,20/08/2021,$10.00,C,$0.25,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(10.4000),-10.4,true,undefined
0,6/25/2021,DFilippidis,WEX-SWEEP,SLO,208,CCV,CCV,20/08/2021,$10.00,C,$0.25,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$10.4000,10.4,true,undefined
0,6/25/2021,DFilippidis,,SLO,-559,FPAC,FPAC,20/08/2021,$10.00,C,$0.23,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(27.9500),-27.95,true,undefined
0,6/25/2021,DFilippidis,,SLO,559,FPAC,FPAC,20/08/2021,$10.00,C,$0.23,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$27.9500,27.95,true,undefined
0,6/29/2021,DFilippidis,WEX-SWEEP,SLO,-9,FPAC,FPAC,20/08/2021,$10.00,C,$0.20,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.4500),-0.45,true,undefined
0,6/29/2021,DFilippidis,WEX-SWEEP,SLO,9,FPAC,FPAC,20/08/2021,$10.00,C,$0.20,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.4500,0.45,true,undefined
0,6/30/2021,DFilippidis,WEX-SWEEP,SLO,-35,FPAC,FPAC,20/08/2021,$10.00,C,$0.15,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.7500),-1.75,true,undefined
0,6/30/2021,DFilippidis,WEX-SWEEP,SLO,35,FPAC,FPAC,20/08/2021,$10.00,C,$0.15,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$1.7500,1.75,true,undefined
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.8925,0.8925,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.8925,0.8925,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,50,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(10.0000),-10,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.1575,0.1575,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.1050,0.105,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,7,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(1.4000),-1.4,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.0500,0.05,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.1050,0.105,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.0525,0.0525,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.4000,0.4,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,8,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.4000,0.4,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.8925,0.8925,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,17,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.0025,$0.8925,0.8925,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,25,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(5.0000),-5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,25,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(5.0000),-5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.2000,0.2,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,4,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.2000,0.2,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,13,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(2.6000),-2.6,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,12,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(2.4000),-2.4,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.1500,0.15,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0,$0.1000,0.1,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,6,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(1.2000),-1.2,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP-SPRD,SLO,6,CLDR,CLDR,18/06/2021,$16.00,C,$0.20,VIVALDI,Per Unit,0.05,0,-0.25,$(1.2000),-1.2,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.5000,0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.5000,0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.5000,0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.5000,0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,-0.2,$(1.5000),-1.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,-0.2,$(1.5000),-1.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,7,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,-0.2,$(1.0500),-1.05,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.43,$1.4400,1.44,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,6,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.49,$3.2400,3.24,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.48,$0.5300,0.53,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.1500,0.15,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,7,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.3500,0.35,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.5000,0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.0500,0.05,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,9,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.4500,0.45,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,5,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.2500,0.25,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,4,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.49,$2.1600,2.16,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.49,$0.5400,0.54,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.49,$0.5400,0.54,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,8,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.49,$4.3200,4.32,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.43,$0.9600,0.96,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.5,$5.5000,5.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.5,$5.5000,5.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.5,$5.5000,5.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.5,$5.5000,5.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.5,$5.5000,5.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,7,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.5,$3.8500,3.85,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,-0.42,$(0.3700),-0.37,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,-0.3,$(0.2500),-0.25,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,-0.43,$(0.7600),-0.76,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,-0.25,$(0.2000),-0.2,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,-0.25,$(0.2000),-0.2,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,-0.25,$(0.2000),-0.2,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,-0.3,$(0.5000),-0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,-0.42,$(0.7400),-0.74,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,-0.25,$(0.2000),-0.2,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.49,$5.4000,5.4,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.49,$5.4000,5.4,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.49,$5.4000,5.4,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.49,$5.4000,5.4,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0.49,$0.5400,0.54,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,2,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.0025,$0.1050,0.105,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0.0025,$0.1575,0.1575,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,4,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,-0.01,$0.1600,0.16,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.0500,0.05,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.0500,0.05,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.0500,0.05,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.18,VIVALDI,Per Unit,0.05,0,0,$0.1500,0.15,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,6,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0.5,$3.3000,3.3,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0.48,$0.5300,0.53,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.17,VIVALDI,Per Unit,0.05,0,0.5,$1.6500,1.65,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,6,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.3000,0.3,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.5000,0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,9,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.4500,0.45,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.0500,0.05,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,1,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.0500,0.05,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.5000,0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,10,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.5000,0.5,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,3,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.1500,0.15,undefined,309467
0,06/01/2021,DSmanik,WEX-SWEEP,SLO,7,CLDR,CLDR,18/06/2021,$16.00,C,$0.16,VIVALDI,Per Unit,0.05,0,0,$0.3500,0.35,undefined,309467
