Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedTotalCharge,removed,targetId
0,08/04/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,261,LUXA,LUXA,15/10/2021,$10.00,C,$0.13,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$13.0500,13.05,true,undefined
0,08/04/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,29,LUXA,LUXA,15/10/2021,$10.00,C,$0.13,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$1.4500,1.45,true,undefined
0,08/05/2021,DFilippidis,WEX-SWEEP,SLO,-261,AGCB,AGCB,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(13.0500),-13.05,true,undefined
0,08/05/2021,DFilippidis,WEX-SWEEP,SLO,261,AGCB,AGCB,15/10/2021,$10.00,C,$0.10,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$13.0500,13.05,true,undefined
0,08/05/2021,DFilippidis,WEX-SWEEP,BYO,-473,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(23.6500),-23.65,true,undefined
0,08/05/2021,DFilippidis,WEX-SWEEP,BYO,473,MYPS,MYPS,20/08/2021,$5.00,P,$0.20,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$23.6500,23.65,true,undefined
0,08/06/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-110,AGCB,AGCB,15/10/2021,$10.00,C,$0.07,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(5.5000),-5.5,true,undefined
0,08/06/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,110,AGCB,AGCB,15/10/2021,$10.00,C,$0.07,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$5.5000,5.5,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,BYO,-320,MYPS,MYPS,20/08/2021,$5.00,P,$0.15,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(16.0000),-16,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,BYO,320,MYPS,MYPS,20/08/2021,$5.00,P,$0.15,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$16.0000,16,true,undefined
0,08/09/2021,DFilippidis,,SLO,-6,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.3000),-0.3,true,undefined
0,08/09/2021,DFilippidis,,SLO,-55,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(2.7500),-2.75,true,undefined
0,08/09/2021,DFilippidis,,SLO,6,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.3000,0.3,true,undefined
0,08/09/2021,DFilippidis,,SLO,55,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$2.7500,2.75,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,-41,LUXA,LUXA,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(2.0500),-2.05,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,-4,LUXA,LUXA,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.2000),-0.2,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,41,LUXA,LUXA,15/10/2021,$10.00,C,$0.10,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$2.0500,2.05,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,4,LUXA,LUXA,15/10/2021,$10.00,C,$0.10,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.2000,0.2,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,-182,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(9.1000),-9.1,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,-20,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(1.0000),-1,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,182,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$9.1000,9.1,true,undefined
0,08/09/2021,DFilippidis,WEX-SWEEP,SLO,20,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$1.0000,1,true,undefined
0,08/09/2021,DFilippidis,,BYO,-55,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(2.7500),-2.75,true,undefined
0,08/09/2021,DFilippidis,,BYO,-6,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.3000),-0.3,true,undefined
0,08/09/2021,DFilippidis,,BYO,55,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$2.7500,2.75,true,undefined
0,08/09/2021,DFilippidis,,BYO,6,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.3000,0.3,true,undefined
0,08/10/2021,DFilippidis,WEX-SWEEP-SPRD,BYO,-2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.1000),-0.1,true,undefined
0,08/10/2021,DFilippidis,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.1000,0.1,true,undefined
0,08/10/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-2,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.1000),-0.1,true,undefined
0,08/10/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,2,IPOF,IPOF,19/11/2021,$10.00,C,$0.19,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.1000,0.1,true,undefined
0,08/10/2021,DFilippidis,,SLO,-609,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(30.4500),-30.45,true,undefined
0,08/10/2021,DFilippidis,,SLO,-68,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(3.4000),-3.4,true,undefined
0,08/10/2021,DFilippidis,,SLO,609,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$30.4500,30.45,true,undefined
0,08/10/2021,DFilippidis,,SLO,68,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$3.4000,3.4,true,undefined
0,08/10/2021,DFilippidis,WEX-SWEEP,SLO,-1,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.0500),-0.05,true,undefined
0,08/10/2021,DFilippidis,WEX-SWEEP,SLO,1,MCMJ,MCMJ,15/10/2021,$10.00,C,$0.20,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.0500,0.05,true,undefined
0,08/11/2021,DFilippidis,WEX-SWEEP,BYO,-207,MYPS,MYPS,20/08/2021,$5.00,P,$0.15,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(10.3500),-10.35,true,undefined
0,08/11/2021,DFilippidis,WEX-SWEEP,BYO,207,MYPS,MYPS,20/08/2021,$5.00,P,$0.15,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$10.3500,10.35,true,undefined
0,08/11/2021,DFilippidis,WEX-SWEEP,BYO,-2,SUNL,SUNL,20/08/2021,$7.50,P,$0.10,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.1000),-0.1,true,undefined
0,08/11/2021,DFilippidis,WEX-SWEEP,BYO,2,SUNL,SUNL,20/08/2021,$7.50,P,$0.10,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$0.1000,0.1,true,undefined
0,08/11/2021,DFilippidis,WEX-SWEEP,SLO,-259,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(12.9500),-12.95,true,undefined
0,08/11/2021,DFilippidis,WEX-SWEEP,SLO,259,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$12.9500,12.95,true,undefined
0,08/11/2021,DFilippidis,WEX-SWEEP,SLO,-1,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.0500),-0.05,true,undefined
0,08/11/2021,DFilippidis,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.0500,0.05,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP,SLO,-46,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(2.3000),-2.3,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP,SLO,46,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$2.3000,2.3,true,undefined
0,08/12/2021,DFilippidis,,SLO,-537,PIPP,PIPP,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(26.8500),-26.85,true,undefined
0,08/12/2021,DFilippidis,,SLO,-10,PIPP,PIPP,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.5000),-0.5,true,undefined
0,08/12/2021,DFilippidis,,SLO,537,PIPP,PIPP,15/10/2021,$10.00,C,$0.05,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$26.8500,26.85,true,undefined
0,08/12/2021,DFilippidis,,SLO,10,PIPP,PIPP,15/10/2021,$10.00,C,$0.05,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.5000,0.5,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP,SLO,-56,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(2.8000),-2.8,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP,SLO,-1,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.0500),-0.05,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP,SLO,56,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$2.8000,2.8,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP,SLO,1,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-GS-444_ALLOCATIONS,Per Unit,0.05,0,0,$0.0500,0.05,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP-SPRD,BYO,-9,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.4500),-0.45,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP-SPRD,BYC,9,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.4500,0.45,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-9,IPOF,IPOF,19/11/2021,$10.00,C,$0.21,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.4500),-0.45,true,undefined
0,08/12/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,9,IPOF,IPOF,19/11/2021,$10.00,C,$0.21,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$0.4500,0.45,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP,SLO,-200,MYPS,MYPS,20/08/2021,$5.00,P,$0.40,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(10.0000),-10,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP,SLC,200,MYPS,MYPS,20/08/2021,$5.00,P,$0.40,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$10.0000,10,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP,BYO,-200,SKIN,SKIN,19/11/2021,$12.50,P,$0.15,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(10.0000),-10,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP,BYO,200,SKIN,SKIN,19/11/2021,$12.50,P,$0.15,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$10.0000,10,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP-SPRD,BYO,-383,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(19.1500),-19.15,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP-SPRD,BYO,383,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$19.1500,19.15,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-383,IPOF,IPOF,19/11/2021,$10.00,C,$0.20,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(19.1500),-19.15,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,383,IPOF,IPOF,19/11/2021,$10.00,C,$0.20,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$19.1500,19.15,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP,SLO,-100,PPC,PPC,20/08/2021,$28.00,C,$0.38,HAVENS-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(5.0000),-5,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP,SLO,100,PPC,PPC,20/08/2021,$28.00,C,$0.38,HAVENS-JPM-352_ALLOCATIONS,Per Unit,0.05,0,0,$5.0000,5,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP,SLO,-187,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(9.3500),-9.35,true,undefined
0,8/13/2021,DFilippidis,WEX-SWEEP,SLO,187,LUXA,LUXA,15/10/2021,$10.00,C,$0.05,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$9.3500,9.35,true,undefined
0,8/13/2021,DFilippidis,,SLO,-905,PIPP,PIPP,15/10/2021,$10.00,C,$0.05,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(45.2500),-45.25,true,undefined
0,8/13/2021,DFilippidis,,SLO,905,PIPP,PIPP,15/10/2021,$10.00,C,$0.05,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$45.2500,45.25,true,undefined
0,8/16/2021,DFilippidis,WEX-SWEEP,SLO,-200,MYPS,MYPS,20/08/2021,$5.00,P,$0.30,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(10.0000),-10,true,undefined
0,8/16/2021,DFilippidis,WEX-SWEEP,SLC,200,MYPS,MYPS,20/08/2021,$5.00,P,$0.30,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$10.0000,10,true,undefined
0,8/16/2021,DFilippidis,WEX-BESTX-OPT,SLO,-96,IPOF,IPOF,19/11/2021,$10.00,C,$0.18,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(4.8000),-4.8,true,undefined
0,8/16/2021,DFilippidis,WEX-BESTX-OPT,SLO,96,IPOF,IPOF,19/11/2021,$10.00,C,$0.18,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$4.8000,4.8,true,undefined
0,8/17/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-300,EWT,EWT,17/09/2021,$55.00,P,$0.56,NEWFOUNDLAND-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(15.0000),-15,true,undefined
0,8/17/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,300,EWT,EWT,17/09/2021,$55.00,P,$0.56,NEWFOUNDLAND-ML-551_ALLOCATIONS,Per Unit,0.05,0,0,$15.0000,15,true,undefined
0,8/17/2021,DFilippidis,WEX-SWEEP-SPRD,BYO,-300,EWT,EWT,17/09/2021,$60.00,P,$1.65,NEWFOUNDLAND-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(15.0000),-15,true,undefined
0,8/17/2021,DFilippidis,WEX-SWEEP-SPRD,BYO,300,EWT,EWT,17/09/2021,$60.00,P,$1.65,NEWFOUNDLAND-ML-551_ALLOCATIONS,Per Unit,0.05,0,0,$15.0000,15,true,undefined
0,8/17/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,-300,EWT,EWT,20/08/2021,$60.00,P,$0.54,NEWFOUNDLAND-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(15.0000),-15,true,undefined
0,8/17/2021,DFilippidis,WEX-SWEEP-SPRD,SLO,300,EWT,EWT,20/08/2021,$60.00,P,$0.54,NEWFOUNDLAND-ML-551_ALLOCATIONS,Per Unit,0.05,0,0,$15.0000,15,true,undefined
0,8/20/2021,DFilippidis,WEX-SWEEP,SLO,-69,MYPS,MYPS,20/08/2021,$5.00,P,$0.61,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(3.4500),-3.45,true,undefined
0,8/20/2021,DFilippidis,WEX-SWEEP,SLC,69,MYPS,MYPS,20/08/2021,$5.00,P,$0.61,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$3.4500,3.45,true,undefined
0,8/20/2021,DFilippidis,WEX-SWEEP,SLO,-2,SUNL,SUNL,20/08/2021,$7.50,P,$2.30,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(0.1000),-0.1,true,undefined
0,8/20/2021,DFilippidis,WEX-SWEEP,SLC,2,SUNL,SUNL,20/08/2021,$7.50,P,$2.30,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$0.1000,0.1,true,undefined
0,8/20/2021,DFilippidis,WEX-SWEEP,SLO,-199,IPOF,IPOF,17/12/2021,$10.00,C,$0.20,VIVALDI-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(9.9500),-9.95,true,undefined
0,8/20/2021,DFilippidis,WEX-SWEEP,SLO,199,IPOF,IPOF,17/12/2021,$10.00,C,$0.20,VIVALDI-BNP-230_ALLOCATIONS,Per Unit,0.05,0,0,$9.9500,9.95,true,undefined
0,8/26/2021,DFilippidis,WEX-BESTX-OPT,BYO,-150,CYXT,CYXT,17/09/2021,$7.50,P,$0.25,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(7.5000),-7.5,true,undefined
0,8/26/2021,DFilippidis,WEX-BESTX-OPT,BYO,150,CYXT,CYXT,17/09/2021,$7.50,P,$0.25,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$7.5000,7.5,true,undefined
0,8/30/2021,DFilippidis,WEX-BESTX-OPT,BYO,-75,CYXT,CYXT,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI_ALLOCATIONS,Per Unit,0.05,0,0,$(3.7500),-3.75,true,undefined
0,8/30/2021,DFilippidis,WEX-BESTX-OPT,BYO,75,CYXT,CYXT,17/09/2021,$7.50,P,$0.15,DIFESA-NFS-226_ALLOCATIONS,Per Unit,0.05,0,0,$3.7500,3.75,true,undefined
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.4000,0.4,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,5,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$4.5000,4.5,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,15,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$13.5000,13.5,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,2,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$1.8000,1.8,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,7,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.3675,0.3675,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,3,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.1200,0.12,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,0.9,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,0.9,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,27,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$24.3000,24.3,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,6,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$5.4000,5.4,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,8,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$7.2000,7.2,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,4,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.2000,0.2,undefined,319922
0,08/03/2021,DSmanik,WEX-SWEEP,SLO,1,LUXA,LUXA,15/10/2021,$10.00,C,$0.15,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$0.9000,0.9,undefined,319922
